model,model_key,project,repo,id_build,run_url,actual_duration,prediction,baseline_lag1,baseline_mean7,abs_error_model,abs_error_lag1,abs_error_mean7,case_type
DT,decision_tree,orange,Orange-OpenSource/ouds-android,16351055527,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16351055527,1304.0,626.3595238095238,1001.0,982.1428571428571,677.6404761904762,303.0,321.8571428571429,worst_model
DT,decision_tree,orange,Orange-OpenSource/ouds-android,16602634402,https://github.com/Orange-OpenSource/ouds-android/actions/runs/16602634402,1254.0,626.3595238095238,1046.0,979.1428571428571,627.6404761904762,208.0,274.8571428571429,worst_model
DT,decision_tree,radare2,radareorg/radare2,16154160208,https://github.com/radareorg/radare2/actions/runs/16154160208,2921.0,2921.0,1128.0,2665.8571428571427,0.0,1793.0,255.14285714285734,best_model
DT,decision_tree,radare2,radareorg/radare2,16610231828,https://github.com/radareorg/radare2/actions/runs/16610231828,2924.0,2921.0,1051.0,2042.7142857142858,3.0,1873.0,881.2857142857142,best_model
DT,decision_tree,radare2,radareorg/radare2,17326905002,https://github.com/radareorg/radare2/actions/runs/17326905002,776.0,771.5,771.0,1521.2857142857142,4.5,5.0,745.2857142857142,best_model
DT,decision_tree,radare2,radareorg/radare2,16177243785,https://github.com/radareorg/radare2/actions/runs/16177243785,5152.0,755.0,5698.0,3607.714285714286,4397.0,546.0,1544.2857142857142,worst_model
DT,decision_tree,radare2,radareorg/radare2,16182201971,https://github.com/radareorg/radare2/actions/runs/16182201971,5474.0,1118.0,2710.0,4069.1428571428573,4356.0,2764.0,1404.8571428571427,worst_model
DT,decision_tree,radare2,radareorg/radare2,17243347833,https://github.com/radareorg/radare2/actions/runs/17243347833,5935.0,2099.0,5366.0,2616.285714285714,3836.0,569.0,3318.714285714286,worst_model
DT,decision_tree,rustlang,rust-lang/crates.io,16283081579,https://github.com/rust-lang/crates.io/actions/runs/16283081579,531.0,531.0,487.0,475.42857142857144,0.0,44.0,55.571428571428555,best_model
DT,decision_tree,rustlang,rust-lang/crates.io,16462881917,https://github.com/rust-lang/crates.io/actions/runs/16462881917,531.0,531.0,473.0,502.7142857142857,0.0,58.0,28.285714285714278,best_model
DT,decision_tree,rustlang,rust-lang/crates.io,16041438255,https://github.com/rust-lang/crates.io/actions/runs/16041438255,532.0,531.0,512.0,534.5714285714286,1.0,20.0,2.571428571428555,best_model
DT,decision_tree,rustlang,rust-lang/crates.io,15971371203,https://github.com/rust-lang/crates.io/actions/runs/15971371203,907.0,461.4583333333333,334.0,448.7142857142857,445.5416666666667,573.0,458.2857142857143,worst_model
DT,decision_tree,rustlang,rust-lang/crates.io,16000642136,https://github.com/rust-lang/crates.io/actions/runs/16000642136,651.0,387.94444444444446,353.0,474.14285714285717,263.05555555555554,298.0,176.85714285714283,worst_model
DT,decision_tree,rustlang,rust-lang/crates.io,16831451406,https://github.com/rust-lang/crates.io/actions/runs/16831451406,343.0,579.375,347.0,517.2857142857143,236.375,4.0,174.28571428571433,worst_model
GBR,gradient_boosting,bmad,bmad-sim/bmad-ecosystem,16699817418,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/16699817418,1185.0,1185.3805896141282,1149.0,1145.142857142857,0.3805896141282119,36.0,39.85714285714289,best_model
GBR,gradient_boosting,bmad,bmad-sim/bmad-ecosystem,16734349244,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/16734349244,1123.0,1122.448944044804,1221.0,1131.857142857143,0.5510559551960341,98.0,8.85714285714289,best_model
GBR,gradient_boosting,bmad,bmad-sim/bmad-ecosystem,16898408470,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/16898408470,1148.0,1149.1568992381613,1148.0,1149.5714285714287,1.1568992381612588,0.0,1.5714285714286689,best_model
GBR,gradient_boosting,bmad,bmad-sim/bmad-ecosystem,17220289767,https://github.com/bmad-sim/bmad-ecosystem/actions/runs/17220289767,1235.0,1117.3020865203953,1124.0,1137.0,117.69791347960472,111.0,98.0,worst_model
